storetype,id,lat,lon,year
low_end_groc,025500,37.728658,-122.431377,2010
high_end_groc,030101,37.765126,-122.459953,2010
low_end_groc,010700,37.797422,-122.408586,2010
high_end_liq,011000,37.792865,-122.421166,2010
low_end_groc,025500,37.733529,-122.428089,2010
low_end_groc,025600,37.73070300000001,-122.429332,2010
high_end_groc,016900,37.768919,-122.429084,2010
high_end_groc,017601,37.784972,-122.406844,2010
low_end_groc,047600,37.780292,-122.47886,2010
low_end_groc,012100,37.789156,-122.409281,2010
low_end_groc,020700,37.761512,-122.424701,2010
high_end_groc,012401,37.783111,-122.414125,2010
low_end_groc,020700,37.759818,-122.423579,2010
low_end_groc,012201,37.786315,-122.416466,2010
liq,023103,37.732533,-122.376681,2010
low_end_liq,061500,37.782483,-122.392898,2010
high_end_groc,061500,37.784111,-122.38923,2010
high_end_groc,010900,37.796831,-122.423714,2010
high_end_liq,061500,37.787333,-122.403365,2010
low_end_groc,020200,37.766406,-122.424302,2010
high_end_groc,022704,37.764136,-122.402518,2010
high_end_liq,021400,37.751553,-122.429893,2010
high_end_liq,026100,37.717016,-122.440606,2010
high_end_groc,010600,37.800049,-122.405865,2010
high_end_groc,016802,37.773988,-122.423202,2010
low_end_groc,012301,37.784871,-122.412795,2010
low_end_groc,040100,37.783039,-122.462697,2010
low_end_groc,020100,37.765999,-122.419757,2010
high_end_liq,026100,37.722478,-122.436479,2010
liq,042601,37.782245,-122.47976,2010
high_end_groc,042700,37.782033,-122.484399,2010
high_end_groc,045200,37.779,-122.46645,2010
high_end_groc,011100,37.791692,-122.41924,2010
low_end_groc,033000,37.742884,-122.479261,2010
low_end_groc,026200,37.712092,-122.451984,2010
high_end_liq,980900,37.74483,-122.404162,2010
high_end_liq,015600,37.78134,-122.455917,2010
high_end_groc,980900,37.741875,-122.406026,2010
high_end_groc,040200,37.78180800000001,-122.465419,2010
high_end_liq,060502,37.70845300000001,-122.420336,2010
low_end_groc,013000,37.796791,-122.430376,2010
groc,015900,37.782274,-122.427469,2010
low_end_groc,026302,37.709849,-122.445541,2010
high_end_groc,013200,37.792575,-122.434596,2010
low_end_liq,017102,37.76601,-122.45001299999998,2010
low_end_liq,030202,37.761923,-122.466158,2010
liq,061200,37.737091,-122.389975,2010
high_end_groc,035202,37.760514,-122.504105,2010
high_end_groc,018000,37.770594,-122.40766200000002,2010
high_end_groc,015400,37.783441,-122.44725,2010
high_end_groc,010100,37.805591,-122.413814,2010
high_end_groc,033201,37.726932,-122.47621,2010
high_end_groc,011300,37.794051,-122.407909,2010
high_end_groc,040100,37.783046,-122.462544,2010
high_end_groc,010900,37.797267,-122.422059,2010
high_end_groc,061400,37.754812,-122.397916,2010
low_end_groc,035400,37.74175200000001,-122.505238,2010
high_end_groc,015400,37.78655,-122.452006,2010
low_end_groc,035201,37.752991,-122.504811,2010
high_end_groc,061100,37.796647,-122.406787,2010
low_end_groc,061500,37.788288,-122.400147,2010
groc,010600,37.799343,-122.406247,2010
low_end_groc,047801,37.775914,-122.492852,2010
low_end_groc,010700,37.796769,-122.407952,2010
high_end_liq,061200,37.73801,-122.389665,2010
high_end_groc,012000,37.787291,-122.420024,2010
low_end_groc,025500,37.724435,-122.434998,2010
low_end_groc,022902,37.752677,-122.411222,2010
low_end_groc,040301,39.127781,-121.549044,2010
low_end_liq,011700,37.793905,-122.396506,2010
high_end_groc,021300,37.748513,-122.433826,2010
high_end_groc,017801,37.781168,-122.400101,2010
high_end_groc,013102,37.79023400000001,-122.423423,2010
high_end_groc,021400,37.751497,-122.430832,2010
low_end_groc,015700,37.776206,-122.443308,2010
low_end_groc,021000,37.752059,-122.422928,2010
low_end_groc,031201,37.721824,-122.461721,2010
high_end_groc,025200,37.746734,-122.413534,2010
